key	english	french	russian	bulgarian
Conversations/Festival Lines/Adeline/harvest_festival/harvest_festival_place_follow_up/1	You deserve another award for your excellent time management skills!	Tu mérites un autre prix pour l'excellente gestion de ton temps.	Тебе нужна особая награда за выдающееся планирование графика!	You deserve another award for your excellent time management skills!
Conversations/Festival Lines/Adeline/harvest_festival/harvest_festival_place_follow_up/init	Wow, [Ari]! You managed to collect so many berries despite being so busy!	Waouh, [Ari] ! Tu as cueilli plein de baies, en plus de tout ce que tu fais déjà !	Ух ты, [Ari]! Ты так <p>заняты</p><f>занята</f><m>занят</m><n>занято</n> — и всё равно <p>смогли</p><f>смогла</f><m>смог</m><n>смогло</n> собрать столько ягод!	Wow, [Ari]! You managed to collect so many berries despite being so busy!
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_8h_follow_up/init	The stars were so beautiful, weren't they? I'm already looking forward to next year.	Les étoiles étaient tellement belles, tu ne trouves pas ? J'attends déjà avec impatience l'année prochaine.	Звёзды были такие красивые! Я уже жду следующего года, чтобы посмотреть ещё раз!	The stars were so beautiful, weren't they? I'm already looking forward to next year.
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_anticipation/1	Though I suppose the stars are visible across the kingdom...	Même si les étoiles sont visibles dans tout le royaume...	Хотя, полагаю, звёзды видны по всему королевству...	Though I suppose the stars are visible across the kingdom...
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_anticipation/2	The best view is definitely here in Mistria.	C'est à Mistria qu'on les voit le mieux.	Но лучше всего их можно рассмотреть определённо здесь, в Мистрии.	The best view is definitely here in Mistria.
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_anticipation/init	The Shooting Star Festival is coming up, [Ari]! It's a real Mistrian tradition.	La fête des étoiles filantes approche, [Ari] ! C'est une vraie tradition mistrienne.	Скоро будет Фестиваль падающих звёзд, [Ari]! Это настоящая мистрийская традиция.	The Shooting Star Festival is coming up, [Ari]! It's a real Mistrian tradition.
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_eiland_follow_up_adeline/1	More than usual, I mean.	Plus que d'habitude, je veux dire.	Больше обычного, я хочу сказать.	More than usual, I mean.
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_eiland_follow_up_adeline/init	Eiland seems like he's lost in his own little world today...	Eiland semble perdu dans son monde, aujourd'hui...	Эйланд сегодня весь день витает в облаках...	Eiland seems like he's lost in his own little world today...
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_follow_up/1	Thank you again for last night. It was really nice to spend time together.	Encore merci pour la nuit dernière. C'était vraiment agréable de passer du temps ensemble.	Ещё раз спасибо за прошлую ночь. Было очень мило провести с тобой время.	Thank you again for last night. It was really nice to spend time together.
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_follow_up/init	Hi, [Ari]!	Salut, [Ari] !	Привет, [Ari]!	Hi, [Ari]!
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_follow_up_not_invited/1	Oh! Sorry [Ari].	Oh ! Désolée, [Ari].	Ой! Прости, [Ari].	Oh! Sorry [Ari].
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_follow_up_not_invited/2	I'm just a little sleepy after staying out so late yesterday.	J'ai un petit peu sommeil après avoir veillé si tard hier.	Вчера я так поздно легла, что теперь меня слегка клонит в сон.	I'm just a little sleepy after staying out so late yesterday.
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_follow_up_not_invited/init	*Yawn*	*Bâillement*	*Зевает*	*Yawn*
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_invited/init	Hi [Ari]! Are you ready to walk up to the Summit together?	Bonjour, [Ari] ! Tu es d'accord pour qu'on aille ensemble jusqu'au sommet ?	Привет, [Ari]! Ты <p>готовы</p><f>готова</f><m>готов</m><n>готово</n> вместе пойти на Вершину?	Hi [Ari]! Are you ready to walk up to the Summit together?
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_invited_anticipation/init	I'll see you at 8 pm sharp! I'm looking forward to it.	On se retrouve ce soir à 20 h précise ! J'ai hâte.	Увидимся в 8 вечера ровно! Я буду ждать!	I'll see you at 8 pm sharp! I'm looking forward to it.
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_missed_follow_up/1	I waited for you to stop by, but ended up watching with Elsie and Eiland...	J'ai attendu que tu viennes, mais j'ai finalement assisté à la fête avec Elsie et Eiland...	Я ждала, пока ты придёшь, а потом пошла смотреть с Элси и Эйландом...	I waited for you to stop by, but ended up watching with Elsie and Eiland...
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_missed_follow_up/init	Oh, [Ari]! Did something come up last night?	Oh, [Ari] ! Tu as eu un empêchement, hier soir ?	О, [Ari]! У тебя вчера что-то случилось?	Oh, [Ari]! Did something come up last night?
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_not_invited/1	I wonder if Mother and Father are watching from the Capital right now, too.	Je me demande si papa et maman admirent ça depuis la capitale, eux aussi.	Интересно, мама с папой в Столице тоже сейчас смотрят на небо?	I wonder if Mother and Father are watching from the Capital right now, too.
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_not_invited/init	How pretty...	Que c'est beau...	Как красиво...	How pretty...
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_romantic_follow_up_A/1	And I thought maybe you could use a pick-me-up. Here, this =Coffee= is for you!	Et je me suis dit que tu aurais peut-être besoin d'un petit remontant. Tiens, ce =café= est pour toi !	Подумала, может, тебе надо взбодриться. Вот, я принесла тебе =кофе=!	And I thought maybe you could use a pick-me-up. Here, this =Coffee= is for you!
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_romantic_follow_up_A/init	Hey [Ari]! I know how hard you've been working lately...	Bonjour, [Ari] ! Je sais que tu travailles très dur, en ce moment...	Привет, [Ari]! Я знаю, что ты в последнее время много работаешь...	Hey [Ari]! I know how hard you've been working lately...
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_romantic_follow_up_B/1	All your hard work seems to give you a certain glow...	Tu travailles dur et cela te donne bonne mine, on dirait...	От тяжёлых трудов ты будто сияешь...	All your hard work seems to give you a certain glow...
Conversations/Festival Lines/Adeline/shooting_star/shooting_star_romantic_follow_up_B/init	You look nice today, [Ari]!	Tu es très en beauté, aujourd'hui, [Ari] !	Ты сегодня отлично выглядишь, [Ari]!	You look nice today, [Ari]!
Conversations/Festival Lines/Adeline/spring_festival/first_place/init	Wow, [Ari]! First place is no small feat. You must have hunted all over Mistria to get so many flowers!	Waouh, [Ari] ! Décrocher la première place, ce n'est pas rien. Tu as dû arpenter tout Mistria pour trouver autant de fleurs !	Ух ты, [Ari]! Первое место — это серьёзное достижение. Ты, наверное, всю Мистрию <p>обошли</p><f>обошла</f><m>обошёл</m><n>обошло</n>, чтобы собрать столько цветов!	Wow, [Ari]! First place is no small feat. You must have hunted all over Mistria to get so many flowers!
Conversations/Festival Lines/Adeline/spring_festival/no_place/1	But it's nice to see everyone having a good time anyway.	Mais c'est un plaisir de voir que tout le monde s'amuse quand même.	Приятно, что все всё равно хорошо отдыхают.	But it's nice to see everyone having a good time anyway.
Conversations/Festival Lines/Adeline/spring_festival/no_place/init	We were a little short on $Breath of Spring$ this year...	Nous n'avons pas eu beaucoup d'$œillets de printemps$, cette année...	В этом году у нас маловато $весноцвета$...	We were a little short on $Breath of Spring$ this year...
Conversations/Festival Lines/Adeline/spring_festival/wonderful/init	Isn't this wonderful? It feels like Mistria has come back to life!	N'est-ce pas merveilleux ? C'est comme si Mistria reprenait vie !	Разве не волшебно? Мистрия будто вышла из спячки!	Isn't this wonderful? It feels like Mistria has come back to life!
Conversations/Festival Lines/Balor/animal_festival/animal_festival_0/init	Be sure to stop by Nora's booth, [Ari]. I sourced some frankly exceptional animal cosmetics from all over the kingdom.	Surtout, arrête-toi au stand de Nora, [Ari]. J'ai réussi à dégoter des accessoires pour animaux franchement incroyables qui viennent de tout le royaume.	Обязательно загляни в киоск Норы, [Ari]. Я раздобыл совершенно необыкновенные украшения для животных со всего королевства.	Be sure to stop by Nora's booth, [Ari]. I sourced some frankly exceptional animal cosmetics from all over the kingdom.
Conversations/Festival Lines/Balor/animal_festival/animal_festival_cow_cutout/1	I wonder if there could be a broader market for them?	Je me demande si on pourrait leur trouver des débouchés.	Интересно, можно ли с ними выйти на широкий рынок?	I wonder if there could be a broader market for them?
Conversations/Festival Lines/Balor/animal_festival/animal_festival_cow_cutout/init	These cutouts... They are surprisingly cute.	Ces silhouettes... Elles sont étonnamment mignonnes.	Эти вырезанные картинки... на удивление миленькие.	These cutouts... They are surprisingly cute.
Conversations/Festival Lines/Balor/animal_festival/animal_festival_first/1	I suppose I'll have to start marketing the produce you sell to me as award winning, won't I?	Quand je commercialiserai les produits que tu me vends, je vais devoir y apposer la mention « Récompensé » hein ?	Теперь мне надо рекламировать животные продукты, которые ты мне продаёшь, как премиальные, да ведь?	I suppose I'll have to start marketing the produce you sell to me as award winning, won't I?
Conversations/Festival Lines/Balor/animal_festival/animal_festival_first/init	Well well, congrats on snagging that win, [Ari].	Voyez-vous cela... Félicitations pour cette victoire, [Ari].	Ну-ну, [Ari], поздравляю тебя с победой.	Well well, congrats on snagging that win, [Ari].
Conversations/Festival Lines/Balor/animal_festival/animal_festival_small_dnp/1	Rocky was genuinely a really impressive pet.	Rocky était vraiment un animal domestique très impressionnant.	Булыж оказался действительно впечатляющим питомцем.	Rocky was genuinely a really impressive pet.
Conversations/Festival Lines/Balor/animal_festival/animal_festival_small_dnp/init	Adeline swore the judge's to total secrecy, but between you and me, [Ari]...	Adeline a fait promettre le secret absolu au jury, mais de toi à moi, [Ari]...	Аделина обязала держать процесс судейства в тайне, но между нами, [Ari]...	Adeline swore the judge's to total secrecy, but between you and me, [Ari]...
Conversations/Festival Lines/Balor/harvest_festival/harvest_festival_0/1	You wouldn't think a berry that pretty only grows in the wild, would you? It's all very odd.	Difficile d'imaginer qu'un si joli fruit ne pousse qu'à l'état sauvage, tu ne trouves pas ? C'est même très étrange.	Казалось бы, такую красивую ягоду должны где-то выращивать. Очень странно.	You wouldn't think a berry that pretty only grows in the wild, would you? It's all very odd.
Conversations/Festival Lines/Balor/harvest_festival/harvest_festival_0/2	I suppose it'll have to be enough that I get to enjoy them at all!	Enfin, le fait de pouvoir les manger devrait déjà me satisfaire amplement !	Что ж, хорошо уже и то, что я могу видеть её здесь!	I suppose it'll have to be enough that I get to enjoy them at all!
Conversations/Festival Lines/Balor/harvest_festival/harvest_festival_0/init	Never seen anything quite like a $Queen Berry$ in my travels.	Au cours de mes voyages, je n'ai jamais rien vu qui ressemble de près ou de loin aux $baies de la reine$.	В своих странствиях я не встречал ничего похожего на $королевские ягоды$.	Never seen anything quite like a $Queen Berry$ in my travels.
Conversations/Festival Lines/Balor/harvest_festival/harvest_festival_first_place_follow_up/init	Well done, [Ari]! First place is quite the feat!	Bien joué, [Ari] ! Tu as décroché la première place, très impressionnant !	Отличная работа, [Ari]! Первое место — это серьёзное достижение!	Well done, [Ari]! First place is quite the feat!
Conversations/Festival Lines/Balor/harvest_festival/harvest_festival_second_place_follow_up/init	Well done, [Ari]! Second place is quite the feat!	Bien joué, [Ari] ! Tu as décroché la deuxième place, ça n'est pas rien !	Отличная работа, [Ari]! Второе место — это серьёзное достижение!	Well done, [Ari]! Second place is quite the feat!
Conversations/Festival Lines/Balor/harvest_festival/harvest_festival_third_place_follow_up/init	Well done, [Ari]! Third place is quite the feat!	Bien joué, [Ari] ! Tu as décroché la troisième place, pas mal du tout !	Отличная работа, [Ari]! Третье место — это серьёзное достижение!	Well done, [Ari]! Third place is quite the feat!
Conversations/Festival Lines/Balor/shooting_star/shooting_star_8h_follow_up/init	Last night was nice, huh? Let's watch the stars together again next year.	La soirée d'hier était agréable, hein ? Si on retournait admirer les étoiles ensemble l'année prochaine ?	Красивая была ночь, да? Давай в следующем году снова посмотрим на звёзды вместе.	Last night was nice, huh? Let's watch the stars together again next year.
Conversations/Festival Lines/Balor/shooting_star/shooting_star_anticipation/1	Apparently the view of the stars is clearest here in Mistria. I'm curious to see it for myself!	Apparemment, c'est de Mistria qu'on aperçoit le mieux les étoiles. Je suis curieux de voir ça de mes propres yeux !	Считается, что в Мистрии самый лучший вид на звёзды. Мне уже любопытно взглянуть самому!	Apparently the view of the stars is clearest here in Mistria. I'm curious to see it for myself!
Conversations/Festival Lines/Balor/shooting_star/shooting_star_anticipation/init	Jo filled me in on the details of the upcoming Shooting Star Festival...	Jo m'a parlé des préparatifs de la fête des étoiles filantes qui aura bientôt lieu...	Джо ввела меня в курс дела про Фестиваль падающих звёзд...	Jo filled me in on the details of the upcoming Shooting Star Festival...
Conversations/Festival Lines/Balor/shooting_star/shooting_star_follow_up/1	The stars last night sure were nice, but it's back to work today.	Les étoiles étaient très belles hier soir, mais aujourd'hui, retour au travail.	Звёзды вчера ночью были прекрасны, но сегодня снова пора за работу.	The stars last night sure were nice, but it's back to work today.
Conversations/Festival Lines/Balor/shooting_star/shooting_star_follow_up/init	It's nice to take a break like that once in a while, isn't it?	C'est agréable de faire une pause de temps à autre, non ?	Приятно иногда вот так отвлечься, да?	It's nice to take a break like that once in a while, isn't it?
Conversations/Festival Lines/Balor/shooting_star/shooting_star_follow_up_not_invited/1	I'm thinking they're the kind of thing couples in the Capital might like to buy.	Je me dis que c'est le genre d'objet que les couples de la capitale seraient prêts à acheter.	Думаю, это как раз тот товар, который может приглянуться парочкам в столице.	I'm thinking they're the kind of thing couples in the Capital might like to buy.
Conversations/Festival Lines/Balor/shooting_star/shooting_star_follow_up_not_invited/2	If I could get anyone in town to agree to export them... sigh.	Mais il faudrait que j'arrive à convaincre quelqu'un, en ville, d'accepter de les exporter... soupir.	Если бы только кто-то из местных согласился их экспортировать... Эх...	If I could get anyone in town to agree to export them... sigh.
Conversations/Festival Lines/Balor/shooting_star/shooting_star_follow_up_not_invited/init	Hmmm... I keep thinking about those $Star Brooches$ that were going around yesterday.	Mmm... Je n'arrête pas de penser aux $broches étoilées$ qui s'échangeaient, hier soir.	Хммм... Я продолжаю размышлять про эти $Звёздные броши$, которые вчера ходили по городу.	Hmmm... I keep thinking about those $Star Brooches$ that were going around yesterday.
Conversations/Festival Lines/Balor/shooting_star/shooting_star_hayden_follow_up_balor/1	He had a huge smile on his face. Did something happen last night?	Il avait un grand sourire sur le visage. Il s'est passé quelque chose, hier soir ?	У него была широченная улыбка. Что же у него вчера случилось?	He had a huge smile on his face. Did something happen last night?
Conversations/Festival Lines/Balor/shooting_star/shooting_star_hayden_follow_up_balor/init	I bumped into Hayden when I was picking up his shipment this morning...	J'ai croisé par hasard Hayden au moment où je récupérais sa marchandise, ce matin...	Сегодня утром я встретил Хейдена, когда заходил забрать его поставку...	I bumped into Hayden when I was picking up his shipment this morning...
Conversations/Festival Lines/Balor/shooting_star/shooting_star_invited/1	Ready to go up to the Summit?	<he>Prêt à</he><she>Prête à</she><they>Tu te sens de</they> grimper jusqu'au sommet ?	Ты <p>готовы</p><f>готова</f><m>готов</m><n>готово</n> пойти на Вершину?	Ready to go up to the Summit?
Conversations/Festival Lines/Balor/shooting_star/shooting_star_invited/init	Evening, [Ari].	Bonsoir, [Ari] !	Вечер, [Ari].	Evening, [Ari].
Conversations/Festival Lines/Balor/shooting_star/shooting_star_invited_anticipation/init	See you at 8 pm?	On se retrouve à 20 h ?	Увидимся в 8 вечера?	See you at 8 pm?
Conversations/Festival Lines/Balor/shooting_star/shooting_star_missed_follow_up/1	I waited for you last night, but you never showed up... did something happen?	<he>Je t'ai attendu</he><she>Je t'ai attendue</she><they>J'attendais ta venue</they>, hier soir, mais <he>tu n'es pas venu</he><she>tu n'es pas venue</she><they>en vain</they>... Il s'est passé quelque chose ?	Вчера вечером я тебя ждал, но ты так и не <p>пришли</p><f>пришла</f><m>пришёл</m><n>пришло</n>... Что-то случилось?	I waited for you last night, but you never showed up... did something happen?
Conversations/Festival Lines/Balor/shooting_star/shooting_star_missed_follow_up/init	Ah... [Ari].	Ah... [Ari].	Ах... [Ari].	Ah... [Ari].
Conversations/Festival Lines/Balor/shooting_star/shooting_star_not_invited/1	But they really are clearest in Mistria!	Mais c'est vraiment ici, à Mistria, qu'on les voit le mieux !	Но в Мистрии они и правда видны лучше всего!	But they really are clearest in Mistria!
Conversations/Festival Lines/Balor/shooting_star/shooting_star_not_invited/init	I've seen these shooting stars from the road and from the Capital...	J'ai déjà observé ces étoiles filantes depuis les routes et depuis la capitale...	Я видел эти падающие звёзды в дороге и в столице...	I've seen these shooting stars from the road and from the Capital...
Conversations/Festival Lines/Balor/shooting_star/shooting_star_romantic_follow_up_A/1	I just got back from the Capital. I saw this one bakery that made me think of you...	Je reviens tout juste de la capitale. En passant devant une boulangerie, j'ai pensé à toi...	Я только что приехал из столицы. Там была одна пекарня, напомнившая мне о тебе...	I just got back from the Capital. I saw this one bakery that made me think of you...
Conversations/Festival Lines/Balor/shooting_star/shooting_star_romantic_follow_up_A/2	So I brought you back a little something.	Alors je t'ai rapporté un petit quelque chose.	И я решил тебе кое-то принести.	So I brought you back a little something.
Conversations/Festival Lines/Balor/shooting_star/shooting_star_romantic_follow_up_A/init	Hey [Ari]!	Salut, [Ari] !	Эй, [Ari]!	Hey [Ari]!
Conversations/Festival Lines/Balor/shooting_star/shooting_star_romantic_follow_up_B/1	I mean... of course you do! What am I saying?	Enfin... Comme toujours, bien sûr ! Qu'est-ce que je raconte ?	В смысле... разумеется! О чём это я?	I mean... of course you do! What am I saying?
Conversations/Festival Lines/Balor/shooting_star/shooting_star_romantic_follow_up_B/init	You look nice today, [Ari]!	Tu es très en beauté, aujourd'hui, [Ari] !	Выглядишь сегодня отлично, [Ari]!	You look nice today, [Ari]!
Conversations/Festival Lines/Balor/spring_festival/first_place/init	Well well, first place, eh? You're certainly worth keeping an eye on.	Voyez-vous ça, la première place, hein ? Il va falloir garder l'œil sur toi, c'est certain.	Первое место, значит? За тобой надо следить повнимательнее.	Well well, first place, eh? You're certainly worth keeping an eye on.
Conversations/Festival Lines/Balor/spring_festival/turn_out/1	At least this means I can properly enjoy myself!	Bon, ça veut au moins dire que je peux en profiter tranquillement !	Зато я хотя бы смогу отдохнуть на фестивале как следует!	At least this means I can properly enjoy myself!
Conversations/Festival Lines/Balor/spring_festival/turn_out/init	What a turn out! I wish I had had time to set up a booth this year.	Quelle foule ! Si seulement j'avais eu le temps de mettre un stand en place, cette année.	Вот это толпа! Жаль, что у меня не нашлось времени поставить собственный ларёк в этом году.	What a turn out! I wish I had had time to set up a booth this year.
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_0/1	"I would like to see these ""best animals"" myself, one day."	J'aimerais voir ces « meilleurs animaux » de mes propres yeux, un jour.	Однажды я бы хотел посмотреть на этих «лучших животных».	"I would like to see these ""best animals"" myself, one day."
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_0/init	There's a festival today? To celebrate the best animals in Mistria? How interesting.	Il y a une fête, aujourd'hui ? Pour célébrer les meilleurs animaux de Mistria ? Comme c'est intéressant.	Сегодня у вас фестиваль? В честь лучших животных Мистрии? Как любопытно.	There's a festival today? To celebrate the best animals in Mistria? How interesting.
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_cow_cutout/1	...	...	...	...
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_cow_cutout/2	It seems Holt was right, I do need to work on my pun skills.	Je crois qu'Holt avait raison, je dois améliorer ma pratique des jeux de mots.	Видимо, Хольт был прав. Мне ещё нужно поработать над каламбурами.	It seems Holt was right, I do need to work on my pun skills.
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_cow_cutout/3	Excellent, Holt will be glad that my puns are improving.	Excellent, Holt sera content de savoir que mes jeux de mots s'améliorent.	Превосходно, Хольт будет рад, что мои каламбуры становятся лучше.	Excellent, Holt will be glad that my puns are improving.
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_cow_cutout/init	[Ari]! Do you get it?	[Ari] ! Tu l'as ?	[Ari]! <p>Заметили</p><f>Заметила</f><m>Заметил</m><n>Заметило</n> шутку?	[Ari]! Do you get it?
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_cow_cutout/init/prompts/0	Get what?	Si j'ai quoi ?	Какую шутку?	Get what?
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_cow_cutout/init/prompts/1	... Cow-darus.	... Caldaruminant.	... Дракорова.	... Cow-darus.
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_eog_0/1	Most of the animals I have met today seem determined to give it a taste.	La plupart des animaux que j'ai croisés aujourd'hui semblent bien décidés à y goûter.	Почти все животные, что я встретил, пытаются его попробовать.	Most of the animals I have met today seem determined to give it a taste.
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_eog_0/init	Perhaps I should have worn a less elaborate outfit to the Festival.	J'aurais peut-être dû porter un costume moins élaboré, pour la fête.	Возможно, не стоило надевать на фестиваль столь замысловатый костюм.	Perhaps I should have worn a less elaborate outfit to the Festival.
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_first/1	It is to be expected that an exceptional person raises exceptional animals.	Mais il est bien normal qu'une personne exceptionnelle élève des animaux non moins exceptionnels.	Следовало ожидать, что у выдающегося человека растут выдающиеся животные.	It is to be expected that an exceptional person raises exceptional animals.
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_first/init	Congratulations to you, [Ari]!	Mes félicitations, [Ari] !	Мои тебе поздравления, [Ari]!	Congratulations to you, [Ari]!
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_other_place/1	Even to my untrained eyes, it is clear your animals are raised with care.	Bien que je ne sois pas expert en la matière, tu as pris grand soin de tes animaux, cela saute aux yeux.	Даже на мой неискушённый взгляд видно, как ты заботишься о своих животных.	Even to my untrained eyes, it is clear your animals are raised with care.
Conversations/Festival Lines/Caldarus/animal_festival/animal_festival_other_place/init	Well done, [Ari].	Bravo, [Ari].	Молодец, [Ari]!	Well done, [Ari].
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_0/1	The bounty of nature is indeed worth celebrating.	En effet, il est important de louer la générosité de la nature.	Воистину, изобилие даров природы стоит отметить.	The bounty of nature is indeed worth celebrating.
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_0/init	Ah, there is a Harvest Festival today?	Ah, on célèbre une fête des récoltes ?	А, сегодня какой-то Фестиваль урожая?	Ah, there is a Harvest Festival today?
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_eog_0/1	Yet they seem to bring people much happiness.	Pourtant, elles semblent apporter beaucoup de joie à tout le monde.	Однако, как я вижу, они приносят людям радость.	Yet they seem to bring people much happiness.
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_eog_0/2	I suppose I should be encouraging when she puts her magic to the general good.	Le fait qu'elle ait parfois employé sa magie pour faire le bien devrait me réjouir, je suppose.	Наверное, мне стоит её поощрять, когда она использует свою магию во благо.	I suppose I should be encouraging when she puts her magic to the general good.
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_eog_0/init	$Queen Berries$ have ancient traces of Seridia's magic on them.	D'anciens restes de la magie de Seridia ont été préservés dans les $baies de la reine$.	$Королевские ягоды$ несут в себе след древней магии Серидии.	$Queen Berries$ have ancient traces of Seridia's magic on them.
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_first_place/1	I can see I have much practice to do before I can match your foraging skill.	Je vois que j'ai encore beaucoup de chemin à parcourir pour arriver à ton niveau en matière de récolte.	Теперь я вижу, что мне нужно ещё много учиться, чтобы собирать травы, как ты.	I can see I have much practice to do before I can match your foraging skill.
Conversations/Festival Lines/Caldarus/harvest_festival/harvest_festival_first_place/init	First place! You must have worked hard, [Ari].	La première place ! Tu as dû travailler d'arrache-pied, [Ari].	Первое место! Должно быть, ты очень <p>постарались</p><f>постаралась</f><m>постарался</m><n>постаралось</n>, [Ari]!	First place! You must have worked hard, [Ari].
